Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,steps_1wk,steps_6wk
"2013-07-04",3656,6804,3.3,0,697,198,239,66,2453,0,0
"2013-07-05",2932,12197,5.91,0,632,142,175,37,1570,0,0
"2013-07-06",2704,8473,4.11,0,779,131,165,10,1260,0,0
"2013-07-07",2714,10144,4.92,0,729,182,144,8,1297,0,0
"2013-07-08",2840,12472,6.04,0,1018,164,177,7,1433,0,0
"2013-07-09",2797,11663,5.65,0,693,176,144,17,1383,0,0
"2013-07-10",2640,10468,5.07,0,775,137,141,7,1187,8821,0
"2013-07-11",2646,9622,4.66,0,779,139,125,15,1147,9345,0
"2013-07-12",2382,6609,3.2,0,899,104,68,18,788,8977,0
"2013-07-13",2936,12169,5.9,0,971,190,177,17,1583,8711,0
"2013-07-14",3599,21734,10.53,0,531,174,245,78,2402,9000,0
"2013-07-15",2870,12220,5.92,0,657,200,183,5,1517,10323,0
"2013-07-16",3169,8552,4.14,0,705,244,131,40,1837,10403,0
"2013-07-17",3029,14459,7.01,0,532,201,166,41,1723,10129,0
"2013-07-18",2739,9789,4.74,0,838,210,111,16,1300,10820,0
"2013-07-19",2980,15285,7.41,0,658,147,140,55,1589,11274,0
"2013-07-20",2771,12230,5.93,0,714,123,109,50,1291,11719,0
"2013-07-21",2890,14120,6.84,0,785,142,111,60,1473,10362,0
"2013-07-22",2736,11101,5.38,0,797,166,124,28,1311,10633,0
"2013-07-23",2777,12314,5.97,0,905,143,156,18,1362,10997,0
"2013-07-24",2933,13883,6.73,0,1106,178,100,56,1517,10691,0
"2013-07-25",2762,12542,6.08,0,1134,129,158,19,1339,11276,0
"2013-07-26",2736,11678,5.66,0,1130,145,157,8,1306,10884,0
"2013-07-27",2756,10284,4.98,0,1085,209,131,15,1362,10805,0
"2013-07-28",3370,21375,10.36,0,1038,152,144,106,2061,10257,0
"2013-07-29",2825,12899,6.25,0,1112,151,148,29,1428,11725,0
"2013-07-30",2707,12010,5.82,0,1188,102,113,37,1212,11808,0
"2013-07-31",2924,14940,7.24,0,1120,122,151,47,1509,11541,0
